origin,translation
Casa ora inaffittata,house now unrented
"Casa in quatro soleri, il primo","house in four soleri, the first"
"magazenni, ovvero stalle da manzi, tenuti da partidanti. Non s'è potuto rilevare a chi e quanto pagano","warehouses, or cattle stalls, held by partisans. it has not been possible to ascertain who and how much they pay"
casa nova,new house
"Casa in tre affittanze, soler di mezzo","house in three leases, middle loft"
Altro soleretto,another small plot of land
Casello di legno di becher,wooden becher toll booth
casa e bottega da linariol,house and linseed oil shop
"Casa, e Bottega da Tamiser","house, and shop for sifting"
Bastion con casa et un canevino,bastion with house and a small cane field
bottega da scaleter e inviamento,shop for surveyors and sending
bottega di tornidor,turner's workshop
Magazen da Botter,botter warehouse
Soler di sotto,lower floor
Bottega da intagliador,carver's workshop
cas,cases
"Casa e magazen, porzione","house and warehouse, portion"
Bottega da Tesser disse di non pagar affitto,tesser's workshop said not to pay rent
casa con bottega del sartor,house with tailor's shop
"casa, vuota",empty house
Casa in tre solari con cinque fitanze,house on three solar with five leases
Casa meza sua propria,house half its own
Casotto da merci,goods shed
posto da calegher,cobbler's place
casa in soler con bottega da caidalatte,house with a sunny yard and dairy shop
"Casa, e Bottegha da Pistor","house, and bakery of the baker"
casa e bottega da casariol,house and shop of cheese maker
casa in quattro affittanze e bottega,house in four leases and shop
Casa in più solari,house on multiple plots
Botega da Chiodi,nail shop
terreno,land
casa e bottega calegher,house and cobbler's shop
Appartamento hora Casin sopra le scale,apartment now casino above the stairs
"casa in tre appartamenti, nel primo di sotto","house in three apartments, in the first one downstairs"
bottega d'orsin,orsin's shop
bottega da galliner e casa,chicken shop and house
Casa e Bottega da Favro,house and workshop of favro
Botegha da Marcer,haberdashery shop
Casa e Botegha da Frutarol,house and fruit shop
Chiesa degli Incurabili con l'Ospitale,incurables church with the hospital
cosi detto le quattro parti de sopradetto lo stesso,so called the four parts of the aforementioned the same
Casa e Bottega callegher,house and cobbler shop
Casa e Casotto,house and hut
"Casa, Bottegha et Inviamento da luganegher","house, shop and delivery from the butcher"
bottega da salumi,deli shop
casa e bottega di furtariol e inviamento,house and shop of furtariol and sending
Ospitio,hospitality
bottega suazer,sugar shop
"Altra casa sopra il fruttarol, et altra sopra il luganegher furon ora comprese con nuova fabrica dal Nobil Homo Ser Marc'Antonio Mocenigo nella propria casa d'abitazione","another house above the fruit seller, and another above the sausage maker were recently included with new construction by the nobleman sir marc'antonio mocenigo in his own residence"
Casa dominical,manor house
casa con bottega da malvasia e un magazen,house with malvasia shop and a warehouse
Bottega da confetti,confetti shop
Libertà numero 35 vuota,freedom number 35 vacant
"Casa, e bottega da calderer","house, and coppersmith's shop"
Il Sol Osteria,the sun tavern
Vuota,empty
Stabile proprio,own property
Bottega da Chirurgo,surgeon's workshop
Bottegha da indorador,gilding workshop
Altra porcion di detta casa,another portion of said house
un luoco,a place
Botegha da Barbier,barber's shop
bottega da malvasia,malvasia shop
In detta casa a pepian con orticello vacua,"in said house with a small vegetable garden, currently vacant"
Casa e Squero,house and shipyard
Bottega da Becher,becher's workshop
banchetto d'acqua vite,water of life banquet
Casa e botega e magazen,house and shop and warehouse
Camera nunero 1,room number 1
Bottega e Casetta da Zavatter,workshop and little shoemaker's house
bottega acque vite,water of life shop
bottega di coronetta,coronet shop
magazzeni n.3 di salumi,warehouses n.3 of cured meats
granaio,barn
bottega da calderer e casa in soler,copper's shop and house in soler
Casa e bottega ba[chier],house and shop ba[chier]
Magazen da legnami,wood warehouse
Inviamento di detto Forno,sending of said oven
Libertà numero 17,freedom number 17
bottega di callegher,cobbler's shop
Altra metà de caratti,other half of the plots
"Case due, et un magazen","two houses, and a store"
Casata in soler,house in soler
casa primo soler e bottega da strazariol,first soler house and strazariol workshop
"Casa in soler in due apaprtamenti, primo","house on the ground in two apartments, first"
bottega da libre,bookshop
bottrghetta,small barrel
Magazen con un camerin,warehouse with a small room
"casa, terzo soler, due porzioni","house, third floor, two portions"
bottega da beccaro,butcher's shop
magazzeni 3,warehouses 3
casetta in soleri,small house in soleri
casa e bottega frutarol,house and fruit shop
"casa soler, seconda","soler house, second"
Casa e bottega di luganegher,house and butcher's shop
Libertà numero 1,freedom number 1
Casa in soler con orto,house with solar and garden
Libertà 13 vuota,freedom 13 empty
Palazzo con horto di loro ragione e per loro uso,palace with garden of their reason and for their use
Casa della residenza,residence house
Casa pepian con horto unito,pepian house with attached garden
bottega da confetti con volta,confetti shop with vault
casa con due botteghe da erbariol ed intagliador,house with two shops for herb dealer and carver
Casa per loro uso,house for their use
Posto di Gua,place of gua
Casetta diroccata,derelict cottage
Magazen osia Graner da Formento,storehouse or grain warehouse for provisions
casa e bottega di sartor,tailor's house and shop
Casa in soler con orto ben rovinoso,house on farmland with quite a dilapidated garden
Casa sopra le scale,house above the stairs
Bottega e mezzado,workshop and half
Casa son horto,house with garden
Casa con due Casette,house with two small houses
casa n. 20,house no. 20
"Casa, Bottegha e Botteghin","house, shop and little shop"
Casa e Bottega di specier da medicini con inviamento suo proprio,house and shop of spice medicine with its own shipment
altra portione di forno,other portion of oven
Magazin con volta,warehouse with vault
"Magazeni in detta Locanda numero 3, uno di questi vuoto","warehouses in said inn number 3, one of these empty"
Scola d'orefici,goldsmith's school
Casa e bottega da zavatter,house and cobbler's shop
inviamento bottega da scaleter,sending shop from staircase
bottega da spechier e casa,mirror shop and house
Bottegha da fruttarol et inviamento il tutto per proprio uso,fruit shop and sending everything for personal use
Casa in soler e bottega da callegher,house in soler and shoemaker's shop
cameretta,small room
Magazeni Due,warehouses two
Apaprtamento di sotto,lower apartment
Botega sola,single shop
Tre casette,three small houses
bottega frutarol,fruit shop
metà palazzo,half palace
Luoghi 4,places 4
bottega da luganegher vuota,empty sausage shop
"Casa con Pistoria, Corte","house with bakery, courtyard"
stazio di guacortelli,station of guacortelli
"casa, primo soler, e due magazzeni","house, first floor, and two warehouses"
bottega da frutariol con casa in soler,fruit shop with house in attic
casa in tre soler,house on three floors
bottega di marzer,warehouse of the marzer
Casa e Bottega da Fruitariol,house and greengrocer's shop
Botteghin solo,small shop only
Caneva in detta calle sempre per il detto Bastion,cellar in said street always for the said bastion
Bottega d'erbariol,herbalist's shop
5 libertà di traghetto,5 ferry freedoms
Appartamento da Casa,apartment from house
"casa, in faccia all'altra","house, facing the other"
bottega da taiapiera,stonecutter's workshop
Casa propria di sua Abbitatione,own house of his habitation
camera e soffitta,room and attic
Una casa,a house
"Casa, quarto soler n.14","house, sun room no.14"
bottega e appartamento di casa,shop and apartment of house
Casino di Radunanza de Nobili,assembly house of nobles
Casete tre a pepian sotto la scola de Calegheri date per carità,three huts under the school of shoemakers given for charity
Casa con Terren da Legname,house with timber land
Bottega inaffitatta,unleased workshop
Casa per proprio uso,house for personal use
Bottega Volta,volta workshop
appartmento di casa,apartment of house
La Torre Osteria,the tower tavern
bottega di dipintor,painter's workshop
Parti 3 di forno,part 3 of oven
Casa n.1,house no.1
posto da erbarol,place for herb dealer
In detta casa in soelr,in said house in soelr
Andriana Barbon,andriana barbon
casa e bottega da chiodi,house and nail shop
Casa e bottegha casseller,house and shop leaseholder
casa e bottega da stramazzer,house and workshop for knocking down
magazen da boter,butter warehouse
bottega da marangon,carpenter's shop
bottega da frutariol,fruit shop
Casa e bottega da Pistor,house and shop from pistor
Altro canevin per detto Bastion,another small field for said bastion
Casa di sua ragione a suo uso,house of his reason for his use
"casa in due soleri e 2 magazeni, primo soler","house with two solariums and 2 warehouses, first solarium"
Portion di casa e bottega di fruttarolo,portion of house and fruit seller's shop
casa a pepian vuota,empty pepian house
appartamento di casa in un soler,apartment of a house on a floor
Casela pepian per uso de magazen,pepian hut for warehouse use
Casete tre a pepian sotto la Scola de Calegheri date per carità,three small houses under the shoemakers' school given for charity
casa a pepian delle Citelle data per carità,house of pepian of the citelles given for charity
Casa terzo soler,third soler house
bottega di barbier,barber shop
Inviamento del forno,sending of the furnace
Casa in soler datta per grazia,house given by grace on leased land
Casa con Bottega di Tornidor,house with turner's workshop
Casa con Giardino,house with garden
Botega da Salumier serve per magazen con volta,salumier's shop used for storage with vault
fabrica de pani di lana e casa in soler,wool bread factory and house in soler
Appartmento di Casa,apartment of house
"camera, quarto soler","room, fourth floor"
casa e bottega serve per canessa,house and shop needed for a barrel
altro appartamento casa,another apartment house
Due Case Locandiere,two leasehold houses
Bottegha da Furtarol,furtarol's shop
soffitta,attic
bottega da fiorier e pirer,flower and pear shop
